,storing_materiaal,storing_diameter,storing_melddatum,storing_aanlegjaar,age_at_failure,Diameter_group,Construction_year_group,Group_id,Group_failurerate,Diameter_group_failurerate,Pipe_failurerate
201,MAT_AC,200.0,2010-12-12 00:00:00,1978-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
208,MAT_AC,100.0,2010-02-15 00:00:00,1967-01-01,43.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005666157486013228
209,MAT_AC,100.0,2010-06-23 00:00:00,1980-01-01,30.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0039531331297766705
210,MAT_AC,100.0,2010-09-04 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
211,MAT_AC,100.0,2010-02-19 00:00:00,1972-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
212,MAT_AC,100.0,2010-09-03 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
219,MAT_AC,150.0,2010-05-13 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
220,MAT_AC,100.0,2010-04-09 00:00:00,1971-01-01,39.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005139073068709672
221,MAT_AC,100.0,2010-05-10 00:00:00,1988-01-01,22.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0028989642951695585
224,MAT_AC,100.0,2010-07-19 00:00:00,1969-01-01,41.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005402615277361449
226,MAT_AC,100.0,2010-02-08 00:00:00,1967-01-01,43.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005666157486013228
227,MAT_AC,100.0,2010-02-15 00:00:00,1985-01-01,25.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0032942776081472253
231,MAT_AC,100.0,2010-12-16 00:00:00,1958-01-01,52.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006852097424946229
233,MAT_AC,125.0,2010-09-19 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
235,MAT_AC,100.0,2010-07-15 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
238,MAT_AC,100.0,2010-01-27 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
243,MAT_AC,125.0,2010-01-18 00:00:00,1977-01-01,33.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004348446442754337
244,MAT_AC,200.0,2010-03-04 00:00:00,1967-01-01,43.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.005666157486013228
245,MAT_AC,100.0,2010-03-31 00:00:00,1964-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
248,MAT_AC,125.0,2010-06-17 00:00:00,1968-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
253,MAT_AC,150.0,2010-03-19 00:00:00,1960-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
254,MAT_AC,150.0,2010-03-04 00:00:00,1957-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
258,MAT_AC,150.0,2010-07-19 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
260,MAT_AC,100.0,2010-08-24 00:00:00,1977-01-01,33.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004348446442754337
262,MAT_AC,100.0,2010-08-18 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
263,MAT_AC,100.0,2010-08-01 00:00:00,1954-01-01,56.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007379181842249785
265,MAT_AC,100.0,2010-12-04 00:00:00,1985-01-01,25.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0032942776081472253
266,MAT_AC,100.0,2010-01-16 00:00:00,1979-01-01,31.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.00408490423410256
273,MAT_AC,150.0,2010-04-28 00:00:00,1988-01-01,22.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0028989642951695585
279,MAT_AC,100.0,2010-07-01 00:00:00,1972-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
281,MAT_AC,200.0,2010-11-12 00:00:00,1955-01-01,55.0,160 - 300,1950 - 1960,16030019501960,0.007169865387818386,0.004668884141399624,0.007247410737923896
282,MAT_AC,100.0,2010-07-10 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
284,MAT_AC,300.0,2010-08-25 00:00:00,1962-01-01,48.0,300 - 1000,1960 - 1970,300100019601970,0.0034630756924591264,0.0014915573037056083,0.006325013007642673
286,MAT_AC,100.0,2010-06-22 00:00:00,1959-01-01,51.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.00672032632062034
289,MAT_AC,100.0,2010-06-10 00:00:00,1972-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
290,MAT_AC,100.0,2010-05-21 00:00:00,1963-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
293,MAT_AC,100.0,2010-10-13 00:00:00,1961-01-01,49.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006456784111968562
295,MAT_AC,150.0,2010-09-23 00:00:00,1965-01-01,45.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005929699694665005
298,MAT_AC,200.0,2010-06-15 00:00:00,1938-01-01,72.0,160 - 300,1930 - 1940,16030019301940,0.012121784682335806,0.004668884141399624,0.00948751951146401
310,MAT_AC,100.0,2011-08-22 00:00:00,1960-01-01,51.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.00672032632062034
311,MAT_AC,100.0,2011-10-18 00:00:00,1969-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
313,MAT_AC,100.0,2011-11-27 00:00:00,1970-01-01,41.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005402615277361449
315,MAT_AC,200.0,2011-12-13 00:00:00,1979-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
317,MAT_AC,100.0,2011-09-06 00:00:00,1976-01-01,35.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004611988651406116
323,MAT_AC,50.0,2011-06-29 00:00:00,1964-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
326,MAT_AC,100.0,2011-07-22 00:00:00,1961-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
329,MAT_AC,100.0,2011-07-11 00:00:00,1982-01-01,29.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0038213620254507813
335,MAT_AC,150.0,2011-03-11 00:00:00,1954-01-01,57.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007510952946575674
336,MAT_AC,100.0,2011-03-09 00:00:00,1978-01-01,33.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004348446442754337
337,MAT_AC,150.0,2011-08-18 00:00:00,1953-01-01,58.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0076427240509015625
339,MAT_AC,100.0,2011-05-17 00:00:00,1964-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
341,MAT_AC,100.0,2011-07-28 00:00:00,1974-01-01,37.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004875530860057893
344,MAT_AC,200.0,2011-10-16 00:00:00,1963-01-01,48.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.006325013007642673
346,MAT_AC,200.0,2011-06-07 00:00:00,1969-01-01,42.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.0055343863816873385
347,MAT_AC,100.0,2011-03-17 00:00:00,1967-01-01,44.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005797928590339117
351,MAT_AC,100.0,2011-12-07 00:00:00,1954-01-01,57.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007510952946575674
354,MAT_AC,150.0,2011-06-27 00:00:00,1982-01-01,29.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0038213620254507813
359,MAT_AC,100.0,2011-11-17 00:00:00,1982-01-01,29.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0038213620254507813
360,MAT_AC,100.0,2011-11-26 00:00:00,1970-01-01,41.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005402615277361449
361,MAT_AC,100.0,2011-11-19 00:00:00,1969-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
363,MAT_AC,100.0,2011-10-02 00:00:00,1932-01-01,79.0,0 - 160,1930 - 1940,16019301940,0.0120901165446888,0.019447347390450617,0.010409917241745233
365,MAT_AC,100.0,2011-06-23 00:00:00,1952-01-01,59.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007774495155227452
368,MAT_AC,100.0,2011-06-21 00:00:00,1957-01-01,54.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0071156396335980065
370,MAT_AC,100.0,2011-02-25 00:00:00,1989-01-01,22.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0028989642951695585
373,MAT_AC,50.0,2011-02-22 00:00:00,1961-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
374,MAT_AC,100.0,2011-09-18 00:00:00,1957-01-01,54.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0071156396335980065
375,MAT_AC,300.0,2011-07-26 00:00:00,1960-01-01,51.0,300 - 1000,1960 - 1970,300100019601970,0.0034630756924591264,0.0014915573037056083,0.00672032632062034
379,MAT_AC,200.0,2011-03-08 00:00:00,1979-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
380,MAT_AC,100.0,2011-11-14 00:00:00,1964-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
382,MAT_AC,100.0,2011-11-29 00:00:00,1961-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
384,MAT_AC,100.0,2011-02-10 00:00:00,1969-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
385,MAT_AC,150.0,2011-03-25 00:00:00,1954-01-01,57.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007510952946575674
388,MAT_AC,100.0,2011-10-12 00:00:00,1969-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
390,MAT_AC,200.0,2011-04-20 00:00:00,1964-01-01,47.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.006193241903316784
391,MAT_AC,150.0,2011-09-20 00:00:00,1957-01-01,54.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0071156396335980065
392,MAT_AC,100.0,2011-02-18 00:00:00,1958-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
394,MAT_AC,200.0,2011-04-18 00:00:00,1961-01-01,50.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.0065885552162944505
396,MAT_AC,150.0,2011-06-22 00:00:00,1956-01-01,55.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007247410737923896
399,MAT_AC,100.0,2011-11-21 00:00:00,1959-01-01,52.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006852097424946229
401,MAT_AC,100.0,2011-11-23 00:00:00,1966-01-01,45.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005929699694665005
402,MAT_AC,100.0,2011-04-18 00:00:00,1958-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
403,MAT_AC,100.0,2011-07-17 00:00:00,1957-01-01,54.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0071156396335980065
404,MAT_AC,100.0,2011-06-28 00:00:00,1961-01-01,50.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0065885552162944505
410,MAT_AC,125.0,2011-03-10 00:00:00,1963-01-01,48.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006325013007642673
414,MAT_AC,200.0,2011-04-24 00:00:00,1961-01-01,50.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.0065885552162944505
416,MAT_AC,100.0,2011-09-10 00:00:00,1985-01-01,26.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0034260487124731145
419,MAT_AC,100.0,2011-01-19 00:00:00,1966-01-01,45.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005929699694665005
421,MAT_AC,250.0,2011-04-28 00:00:00,1963-01-01,48.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.006325013007642673
424,MAT_AC,150.0,2011-05-24 00:00:00,1953-01-01,58.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0076427240509015625
426,MAT_AC,100.0,2011-11-29 00:00:00,1974-01-01,37.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004875530860057893
433,MAT_AC,250.0,2011-04-17 00:00:00,1979-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
442,MAT_AC,200.0,2011-09-28 00:00:00,1979-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
445,MAT_AC,100.0,2011-01-27 00:00:00,1959-01-01,52.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006852097424946229
451,MAT_AC,100.0,2011-05-21 00:00:00,1970-01-01,41.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005402615277361449
452,MAT_AC,100.0,2011-07-27 00:00:00,1974-01-01,37.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004875530860057893
454,MAT_AC,300.0,2011-07-27 00:00:00,1953-01-01,58.0,300 - 1000,1950 - 1960,300100019501960,0.005585329526455759,0.0014915573037056083,0.0076427240509015625
455,MAT_AC,100.0,2011-12-16 00:00:00,1958-01-01,53.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006983868529272118
457,MAT_AC,150.0,2011-03-14 00:00:00,1954-01-01,57.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007510952946575674
458,MAT_AC,150.0,2011-05-26 00:00:00,1954-01-01,57.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007510952946575674
462,MAT_AC,250.0,2011-11-09 00:00:00,1970-01-01,41.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.005402615277361449
464,MAT_AC,200.0,2011-07-10 00:00:00,1990-01-01,21.0,160 - 300,1990 - 2000,16030019902000,0.001144888947751663,0.004668884141399624,0.0027671931908436692
475,MAT_AC,100.0,2011-03-22 00:00:00,1951-01-01,60.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007906266259553341
476,MAT_AC,100.0,2011-01-24 00:00:00,1951-01-01,60.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.007906266259553341
480,MAT_AC,200.0,2011-04-21 00:00:00,1975-01-01,36.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004743759755732005
485,MAT_AC,100.0,2011-02-06 00:00:00,1973-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
490,MAT_AC,100.0,2011-11-22 00:00:00,1970-01-01,41.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005402615277361449
492,MAT_AC,200.0,2011-09-12 00:00:00,1962-01-01,49.0,160 - 300,1960 - 1970,16030019601970,0.0067077637583175835,0.004668884141399624,0.006456784111968562
494,MAT_AC,150.0,2011-09-26 00:00:00,1973-01-01,38.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.0050073019643837825
495,MAT_AC,125.0,2011-05-06 00:00:00,1960-01-01,51.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.00672032632062034
496,MAT_AC,100.0,2011-09-29 00:00:00,1970-01-01,41.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005402615277361449
497,MAT_AC,100.0,2011-07-15 00:00:00,1966-01-01,45.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.005929699694665005
504,MAT_AC,100.0,2011-01-16 00:00:00,1960-01-01,51.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.00672032632062034
506,MAT_AC,200.0,2011-01-04 00:00:00,1979-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
508,MAT_AC,100.0,2011-10-05 00:00:00,1979-01-01,32.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004216675338428448
509,MAT_AC,100.0,2011-02-27 00:00:00,1959-01-01,52.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.006852097424946229
510,MAT_AC,100.0,2011-05-14 00:00:00,1964-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
511,MAT_AC,100.0,2011-06-16 00:00:00,1983-01-01,28.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0036895909211248925
514,MAT_AC,100.0,2011-11-02 00:00:00,1938-01-01,73.0,0 - 160,1930 - 1940,16019301940,0.0120901165446888,0.019447347390450617,0.009619290615789897
515,MAT_AC,150.0,2011-01-30 00:00:00,1970-01-01,41.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.005402615277361449
516,MAT_AC,200.0,2011-12-20 00:00:00,1979-01-01,32.0,160 - 300,1970 - 1980,16030019701980,0.004327175435392872,0.004668884141399624,0.004216675338428448
531,MAT_AC,100.0,2011-12-12 00:00:00,1979-01-01,32.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004216675338428448
535,MAT_AC,100.0,2011-11-10 00:00:00,1969-01-01,42.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0055343863816873385
537,MAT_AC,100.0,2011-01-27 00:00:00,1987-01-01,24.0,0 - 160,1980 - 1990,16019801990,0.009499218931547145,0.019447347390450617,0.0031625065038213365
539,MAT_AC,250.0,2011-08-02 00:00:00,1958-01-01,53.0,160 - 300,1950 - 1960,16030019501960,0.007169865387818386,0.004668884141399624,0.006983868529272118
540,MAT_AC,150.0,2011-11-26 00:00:00,1974-01-01,37.0,0 - 160,1970 - 1980,16019701980,0.021659410197919917,0.019447347390450617,0.004875530860057893
543,MAT_AC,50.0,2011-03-09 00:00:00,1964-01-01,47.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.006193241903316784
545,MAT_AC,100.0,2011-05-07 00:00:00,1957-01-01,54.0,0 - 160,1950 - 1960,16019501960,0.023593731428492856,0.019447347390450617,0.0071156396335980065
547,MAT_AC,125.0,2011-04-30 00:00:00,1965-01-01,46.0,0 - 160,1960 - 1970,16019601970,0.02413711332142534,0.019447347390450617,0.0060614707989908945
